@relation Phishing.Detection

@attribute protocol {http,https,other}
@attribute FrequentTermsvsRegistrant integer
@attribute NOofDomainNamecandidatesinHostnameandContent integer
@attribute NOofDomainNamecandidatesinHostname integer
@attribute NumericHostname {true,false}
@attribute TitlevsRegistrant integer
@attribute TitlevsDomainNamecandidatesinHostname integer
@attribute FrequentTermsvsHostDomain integer
@attribute CopyrightvsRegistrant integer
@attribute DomainNamecandidatesinAnchorsvsRegistrant integer
@attribute phising {true,false}
@data 
http,8.0,0,0,false,66.0,73.0,16.0,5.0,-1.0,false
http,9.0,716,716,false,92.0,92.0,15.0,10.0,12.0,false
http,18.0,10,10,false,91.0,80.0,13.0,-1.0,21.0,false
http,-1.0,2,2,false,-1.0,26.0,8.0,-1.0,-1.0,false
http,8.0,106,106,false,97.0,101.0,16.0,10.0,17.0,false
http,18.0,130,130,false,33.0,22.0,5.0,17.0,23.0,false
https,2.0,29,29,false,32.0,38.0,8.0,-1.0,6.0,false
http,9.0,16,15,false,49.0,50.0,9.0,4.0,17.0,false
http,18.0,14,14,false,73.0,65.0,10.0,20.0,26.0,false
https,13.0,7,7,false,43.0,60.0,10.0,14.0,26.0,false
https,8.0,4,4,false,39.0,44.0,11.0,9.0,16.0,false
http,11.0,6,6,false,141.0,143.0,20.0,-1.0,18.0,false
http,11.0,6,6,false,19.0,13.0,11.0,12.0,19.0,false
http,8.0,154,154,false,84.0,79.0,11.0,10.0,16.0,false
http,5.0,30,30,false,78.0,89.0,10.0,-1.0,14.0,false
http,18.0,91,91,false,64.0,51.0,10.0,21.0,27.0,false
http,18.0,73,73,false,87.0,81.0,9.0,-1.0,22.0,false
http,7.0,2,2,false,74.0,76.0,15.0,8.0,16.0,false
https,6.0,41,41,false,64.0,68.0,10.0,6.0,14.0,false
http,12.0,105,105,false,63.0,54.0,10.0,13.0,19.0,false
http,10.0,27,27,false,41.0,44.0,12.0,11.0,19.0,false
http,8.0,90,90,false,65.0,69.0,13.0,-1.0,17.0,false
http,18.0,17,17,false,114.0,103.0,11.0,16.0,26.0,false
http,8.0,5,5,false,69.0,68.0,10.0,10.0,16.0,false
https,6.0,1,1,false,14.0,14.0,12.0,-1.0,17.0,false
https,5.0,1,1,false,25.0,31.0,11.0,5.0,16.0,false
https,5.0,2,2,false,22.0,29.0,10.0,5.0,16.0,false
https,16.0,3,3,false,87.0,100.0,15.0,18.0,27.0,false
https,18.0,0,0,false,18.0,19.0,19.0,-1.0,-1.0,false
https,10.0,1,1,false,42.0,30.0,6.0,-1.0,23.0,false
https,13.0,0,0,false,44.0,39.0,16.0,-1.0,-1.0,false
