@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
166,158,1,30,166,0.153061,0.993711,0.840426,0.993711,0.159574,0.910663,0.529577,1.876422,0.028971
167,158,1,29,167,0.147959,0.993711,0.84492,0.993711,0.15508,0.913295,0.526761,1.886456,0.03318
168,158,1,28,168,0.142857,0.993711,0.849462,0.993711,0.150538,0.915942,0.523944,1.896598,0.036016
169,158,1,27,169,0.137755,0.993711,0.854054,0.993711,0.145946,0.918605,0.521127,1.90685,0.040345
170,158,1,26,170,0.132653,0.993711,0.858696,0.993711,0.141304,0.921283,0.51831,1.917214,0.040395
171,158,1,25,171,0.127551,0.993711,0.863388,0.993711,0.136612,0.923977,0.515493,1.92769,0.041551
172,158,1,24,172,0.122449,0.993711,0.868132,0.993711,0.131868,0.926686,0.512676,1.938282,0.043891
173,158,1,23,173,0.117347,0.993711,0.872928,0.993711,0.127072,0.929412,0.509859,1.948991,0.044128
174,158,1,22,174,0.112245,0.993711,0.877778,0.993711,0.122222,0.932153,0.507042,1.959818,0.045102
175,158,1,21,175,0.107143,0.993711,0.882682,0.993711,0.117318,0.934911,0.504225,1.970767,0.045411
176,158,1,20,176,0.102041,0.993711,0.88764,0.993711,0.11236,0.937685,0.501408,1.981839,0.049096
177,158,1,19,177,0.096939,0.993711,0.892655,0.993711,0.107345,0.940476,0.498592,1.993036,0.055272
178,158,1,18,178,0.091837,0.993711,0.897727,0.993711,0.102273,0.943284,0.495775,2.00436,0.058625
179,158,1,17,179,0.086735,0.993711,0.902857,0.993711,0.097143,0.946108,0.492958,2.015813,0.064835
180,158,1,16,180,0.081633,0.993711,0.908046,0.993711,0.091954,0.948949,0.490141,2.027398,0.066824
181,158,1,15,181,0.076531,0.993711,0.913295,0.993711,0.086705,0.951807,0.487324,2.039117,0.075099
182,158,1,14,182,0.071429,0.993711,0.918605,0.993711,0.081395,0.954683,0.484507,2.050973,0.079957
183,158,1,13,183,0.066327,0.993711,0.923977,0.993711,0.076023,0.957576,0.48169,2.062967,0.08003
184,158,1,12,184,0.061224,0.993711,0.929412,0.993711,0.070588,0.960486,0.478873,2.075102,0.097854
185,158,1,11,185,0.056122,0.993711,0.934911,0.993711,0.065089,0.963415,0.476056,2.08738,0.132664
186,158,1,10,186,0.05102,0.993711,0.940476,0.993711,0.059524,0.966361,0.473239,2.099805,0.135593
187,158,1,9,187,0.045918,0.993711,0.946108,0.993711,0.053892,0.969325,0.470423,2.112379,0.137708
188,158,1,8,188,0.040816,0.993711,0.951807,0.993711,0.048193,0.972308,0.467606,2.125104,0.163322
189,158,1,7,189,0.035714,0.993711,0.957576,0.993711,0.042424,0.975309,0.464789,2.137984,0.170971
190,158,1,6,190,0.030612,0.993711,0.963415,0.993711,0.036585,0.978328,0.461972,2.15102,0.413379
